isolabel_ext,status,cover,overlay
CM-SU-Campo,0,c6m c6v c7h c7m c7r c7v cdh d2r,
CM-SU-Djoum,0,d7h d7m d7r d7v ddh ddm ddr ddv e2h e2m e2r e2v e8h,
CM-SU-Ebolowa1,0,d8h d8m d8r d8v d9h d9r,
CM-SU-Ebolowa2,0,d3r d3v d6r d8h d8m d8r d9h d9m d9r,
CM-SU-Efoulan,0,d8m d8r d8v,
CM-SU-Kribi1,0,c6v ccm cdh cdr,
CM-SU-Kribi2,0,cc7y ccdn ccdp cd2t cd8j cd8k cd8s cd8t cd8y cd8z,
CM-SU-KyeOssi,0,d30s d30t d30y d30z d31s d31t d31y d31z d32j d32k d32n d32p d33j d33k d33n d33p d33s d33z,
CM-SU-Lokoundje,0,c6v c7r ccm ccv cdh cdm cdr cdv cem cfh cfm cfr,
CM-SU-Lolodorf,0,cdv d8r d8v dah dam,
CM-SU-Maan,0,c7h c7m c7v d2h d2m d2r d2v d8h d8m,
CM-SU-Mengong,0,d9h d9m d9r d9v,
CM-SU-Meyomessala,0,dcm dcr dcv ddh ddr dem dfh,
CM-SU-Meyomessi,0,d6v d7r dcm ddh,
CM-SU-Mintom,0,e2m e2r e2v e3h e3r e8h e8m e9h,
CM-SU-Mvangan,0,d3m d3v d6h d6r d6v d9m dch,
CM-SU-Mvengue,0,d8v d9r dam,
CM-SU-Ngoulemakong,0,d9r d9v dcr,
CM-SU-Niete,0,c7r c7v cdh cdm,
CM-SU-Olamze,0,d2h d2m d3h,
CM-SU-Oveng,0,d6h d6m d6r d6v d7h d7r ddh,
CM-SU-Sangmelima,0,d6r d6v d9m d9v dch dcm dcr dcv,
CM-SU-Zoetele,0,d9v dbm dcr dcv deh dem,
CM-SW-Akwaya,0,51m 54h 54m 54r 9bh 9bm 9br 9bv 9eh 9er 9ev,
CM-SW-Alou,0,9cdy 9cfj 9cfk 9cfn 9cfp 9cfs 9cfy 9cfz 9d8t 9daj 9dak 9das 9dat 9day,
CM-SW-Bamusso,0,91r 91v 93h 93m,
CM-SW-Bangem,0,96r 96v 9ch 9cm,
CM-SW-Buea,0,91h 91m 91v 94h 94r,
CM-SW-DikomeBalue,0,93h 93m 93r 93v,
CM-SW-EkondoTiti,0,93h 93m 93r,
CM-SW-Eyumodjock,0,99h 99r 99v 9bh 9bm,
